Mixture	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF	P-value	Correlation	RMSE
mirror_db_sample50	0.38882881287417709	0.15095245306211552	0.06730635045757567	0.08293072802065388	0.00667121471322088	0.10685862578868800	0.05961874123614367	0.00426503271377737	0.11825780611088527	0.01431023502276249	0.00000000000000000	0.97387543658772291	0.35626862965416417
mirror_db_sample51	0.40771806419960677	0.12722777366727694	0.09795469524104898	0.00155423961886113	0.02838724926942152	0.09772037376051891	0.08389825973508327	0.02648710451304913	0.11376180402561362	0.01529043596951975	0.00000000000000000	0.99464060661174691	0.30066970868044629
mirror_db_sample52	0.31525345465023957	0.08663052320079763	0.08818007722665838	0.03377011686443672	0.03855014131916564	0.10630178737730463	0.21258114196881644	0.00000000000000000	0.10398886617054184	0.01474389122203901	0.00000000000000000	0.98453148626312381	0.35556799645943177
mirror_db_sample53	0.38819416973900489	0.15880414765339668	0.09002906510505897	0.00288985750184511	0.01797252069268091	0.09578650653817204	0.05341261516073881	0.02598531404085671	0.14890079332794168	0.01802501024030429	0.00000000000000000	0.99235987591120045	0.32868308006426705
mirror_db_sample54	0.39867628502721275	0.10274905044485334	0.04757949227439678	0.01438521093540802	0.02877004485743621	0.11001527054748780	0.12785663513007484	0.01846448165170833	0.11519711149211165	0.03630641763931024	0.00000000000000000	0.99430232815238673	0.30702549729791473
mirror_db_sample55	0.35103302057882418	0.15907867716247284	0.05166063403615298	0.03871603244653020	0.02881953472449626	0.08921664435875655	0.16629463145988443	0.01542899480789159	0.08972861409643935	0.01002321632855171	0.00000000000000000	0.98561694763819330	0.37632714504623077
mirror_db_sample56	0.46630025543361614	0.19888096303373426	0.02554911300145338	0.03654016784200670	0.00295191151203538	0.09699767061447369	0.06408137116384578	0.00676278152525837	0.07812647302539849	0.02380929284817768	0.00000000000000000	0.99521436112539952	0.30815542230077897
mirror_db_sample57	0.35161797579787440	0.12137000335155755	0.11339347781427718	0.01016147020013357	0.03622436380853802	0.10628427104277549	0.08132053542463823	0.02157618715525848	0.13526591131558097	0.02278580408936593	0.00000000000000000	0.99334294157397984	0.31522703210116104
mirror_db_sample58	0.38642534237761939	0.09745585076577576	0.04923037657739179	0.03147647666345259	0.00955540867946917	0.09004381464653152	0.18226558727745759	0.00642956283357054	0.13704158974255759	0.01007599043617426	0.00000000000000000	0.98807414233977853	0.35433148141959980
mirror_db_sample59	0.43039327516291481	0.11844442554389974	0.06294213147051320	0.03887927380716456	0.00291649599145868	0.05311688913176675	0.12113158584045094	0.01059852658305919	0.13985180450017895	0.02172559196859295	0.00000000000000000	0.96287482573863070	0.41401919678080135
mirror_db_sample60	0.38080456188201756	0.16368743038792744	0.05121270623427852	0.03333672007535386	0.01424769603419255	0.10453592794367489	0.10985174108023972	0.00000000000000000	0.11525143260103182	0.02707178376128365	0.00000000000000000	0.99409873802281623	0.33386729070292887
mirror_db_sample61	0.40967857736129387	0.14686409569320655	0.07226841562708529	0.00000000000000000	0.02912647952335213	0.09241301267577713	0.09311509773527939	0.02729181523180459	0.10974608314810885	0.01949642300409213	0.00000000000000000	0.99376549372863887	0.32119332633590603
mirror_db_sample62	0.36625339640694521	0.10126279539915661	0.10123772077373216	0.03068456445480159	0.01288799096125608	0.09008553536008591	0.12927063336049238	0.02346070548491005	0.10342163285091081	0.04143502494770929	0.00000000000000000	0.99226444148322057	0.32681596684211717
mirror_db_sample63	0.44177162582249546	0.11100829659075982	0.07411123248430554	0.03924496559642667	0.03060065061121903	0.10424394126844932	0.05620733266492137	0.00813836695905392	0.09688648859303879	0.03778709940933015	0.00000000000000000	0.98380667373079167	0.30972446709049983
mirror_db_sample64	0.36057695079709851	0.10841582777641176	0.02930163760528839	0.06184021141995177	0.02254489079336350	0.10489140016496820	0.16646540460711037	0.02016155277278573	0.10091596813302525	0.02488615592999641	0.00000000000000000	0.99138984344820824	0.34054638735111786
mirror_db_sample65	0.36952916964955362	0.11680681655525371	0.09289552693385975	0.06796174780317625	0.01726273410788116	0.08413656943369967	0.08549845495714019	0.00694306060285230	0.10191897067212556	0.05704694928445780	0.00000000000000000	0.98534441019449015	0.35288799452851022
mirror_db_sample66	0.34445214684973413	0.07204896631035050	0.08970181569924356	0.09725450952037429	0.00801676690586660	0.10698614606546535	0.14005848353779926	0.02663295891465108	0.09472130134186540	0.02012690485464988	0.00000000000000000	0.98451187426224251	0.32652079400256101
mirror_db_sample67	0.32795646717733012	0.17436638965924750	0.11012636962029787	0.00000000000000000	0.02477906667556479	0.09362604837053559	0.14143818112180437	0.02132969790100263	0.07922347054455711	0.02715430892966010	0.00000000000000000	0.99496264094733688	0.34241481560217774
mirror_db_sample68	0.31669000894528576	0.12720294620144226	0.11579060849809147	0.09884584907869047	0.02977066790530171	0.11289960038844382	0.09991689172207299	0.00548677734060457	0.07735088726076092	0.01604576265930600	0.00000000000000000	0.98569505458723505	0.33018604437762650
mirror_db_sample69	0.39484768174466817	0.07962506019311455	0.06627004886988598	0.06274774904575067	0.01009090704955757	0.08916087269800191	0.12244590390742166	0.01853204026557664	0.10086133879746885	0.05541839742855405	0.00000000000000000	0.98960230885376332	0.32925218439084475
