GeneSymbol	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF
AMFR	207.29744394391636320	233.04780249690861638	177.69257093153109395	310.74094357123192367	173.90167797527874427	162.43064805911183157	208.58311668715970200	229.75121669202167141	252.50174572453732935	211.59670128783938026
AMIGO2	184.33606725042011476	92.57234916181327833	83.09466182012532443	125.43616502972592741	53.04501459645099715	19.11956564595123353	75.69675651464091004	127.01623875964513388	398.34245726779471397	88.19914855899266115
AMOTL2	367.78354751970556435	269.21915083530933543	346.75384539727724587	227.53357381577430374	398.22174963498372335	477.76091969541096205	343.05180182909066389	325.56310795704160910	402.60139104370739460	624.42385424735175548
ANAPC10	185.78172373408813201	208.95032042092989855	190.75654475010207989	184.82935776505905778	125.24213464405433172	163.30279241666363532	183.14848001102313901	189.83871539995885769	201.29278727536794236	159.81728716253925882
ANAPC15	278.13993036646542123	253.18066186349005875	194.16131286744143836	311.59959993960768543	84.08889067994343236	53.60342287765496394	400.31896970031016281	276.51128483747993414	289.59821643224591980	130.34717984939302937
ANG	224.22422588200231530	89.60709260410263255	169.56534663723047629	123.07416568051628758	163.00772009750559732	340.57378787268203268	247.22042053479998458	547.29145659682967562	154.49616043365418250	307.22999128034160776
ANGPT1	149.15761060566532592	506.30039735672266943	102.22669490165635864	144.79275478232781893	176.71615767757705839	138.57976956820243686	165.06288568720077592	148.85873782908180374	498.06628337879533319	526.92420758487708099
ANGPT2	423.83870145256395290	1988.16864203156819713	217.74383648118615042	726.91673692988445055	590.52382441588554229	0.00000000000000000	454.92935559513074395	318.84402917020969426	1445.30460135218504547	1523.42621770337632370
ANGPTL1	200.64290019418243105	81.01250960405660351	238.58488974498064294	89.43333441357533786	110.90198741678527483	419.54643146605292259	59.45647737764917196	112.98194201467185849	362.11896621011175057	579.66626806857004794
ANK2	464.01700646178596799	469.74801892946925364	504.20889084137411373	410.66456424642120737	1069.08089578859562607	1137.92781848008780798	454.51913534489727908	412.05153827433611013	425.07266192298840224	712.95031491595307216
ANKH	1250.39241408861289528	296.12527467560346395	1001.34906928346163113	573.29399574750982538	753.36585364809343446	503.76007572535939971	735.97359357323807671	943.39774688595844054	292.76688118616920065	260.23678921985526813
ANKRD13A	177.69856250021720712	148.67594640984208354	160.15047110246916873	201.24435094729653883	154.52645572131518747	93.07471799481137964	268.79505208257387494	179.20984628326243637	155.06668347319194368	204.05786640123571374
ANKRD13D	272.73162635183734892	366.55780138897614506	214.80367185730824531	329.49266041718249198	484.83774113297772601	201.64862714683567901	226.98373289620963078	274.44367301317038255	317.13950566545878473	280.86830660725041753
ANKRD29	73.39091698489748694	231.14821548720721012	62.08050290024113593	115.47197262025731845	149.86249793274154740	26.23535899673870730	66.26090964949601414	83.96109065320466414	392.50868535570549511	628.02247511624273102
ANKRD35	297.99361866489158501	69.27803622863422106	273.68882608964793235	152.93041663235692340	148.67981168295841599	449.16164039346148229	165.57981093524279004	253.44166231086532548	66.61396218308905759	111.57325892406919365
ANKRD36	120.58296097205338526	105.80185040024441889	72.73260348495395533	200.76991298134160502	335.84552913845902822	42.71701930593884811	187.15785182576013312	132.82828745221087274	126.09311697789671314	115.80157969330559808
ANKRD36C	202.00510060996546713	198.42815538360241590	129.96570752826124817	238.42171826596444362	588.80146445164609759	57.33494609812907328	224.16940056241659818	215.91413645183857284	253.48173344836837373	192.44319461743401689
ANKRD50	212.26489307318880151	414.80295055970128715	148.04709092476139176	205.35006537693575979	239.15645566007279399	163.50193020625928852	208.46939850443462205	188.95214018450340632	316.25833895106757154	183.87863871211678202
ANKRD65	282.30352686028760445	64.85724680898532313	250.33952789038980313	206.30830103950674470	112.55113681216231214	184.61488963229797378	144.76869067832365090	266.93042007137728433	61.82717627086377377	52.68989518410455730
ANKRD9	190.74015756510272013	175.56556668867739290	127.98061045199234798	203.42925716238579525	137.15147149372711510	154.42611438737421281	266.70334159482223413	118.69696727353506560	155.82353167553722528	113.42603003066628276
ANKS3	210.85424896904825687	121.38907188694248873	138.08145567404974940	133.81516408169031251	170.53767115366790108	141.87800125365666304	110.01193562737203990	166.47090242018174422	125.02219066176976980	122.26547940220528687
ANLN	26.51771207166651578	25.90837496084350633	10.41036847524580011	44.06562024246333209	0.00000000000000000	0.00000000000000000	622.22626667400243150	54.90112141245855781	20.63080720437223547	0.00000000000000000
ANO1	373.20697346840586306	800.32153725412126732	299.93693556692227276	382.80907320105688996	283.26311880061507509	117.17757660948721821	302.55839906654028937	212.75820512480717639	451.14246959150875682	440.37067452766586939
ANPEP	315.10011949504496442	256.49672759824869672	340.26812110919667020	320.94261203909127289	390.79719998013177928	477.82303919213012477	324.95683391093865566	429.43899618781284744	148.99976355608023937	165.10661859631366610
AOC3	98.81443243216706662	302.48247401627361342	97.03954676946172242	206.10016223242391220	109.01950083689207815	0.00000000000000000	97.63070088920611056	92.92006269572426902	773.54069211080775403	581.23334421501192537
AOX1	158.97719710362866863	31.94559627663034007	110.10934238034559485	140.71387883625999393	98.09392984562973083	562.69399762806631315	113.25812151511003378	128.29299319257995649	47.99757088576382102	252.23978687258190234
AP000892.3	266.45027865805838019	198.80385243760912317	156.36763073335347940	166.20416388740275693	191.81415723303700815	47.59434870380469107	263.63125686108173795	203.27099547822277259	540.89324781789730423	393.52791293296064623
AP1G1	184.41212401276953869	249.79828281223078079	154.73521101263918354	322.12623715755972853	193.23842748889978793	109.91170696102183513	170.55367810805481099	143.72245334870544298	251.83835057341278230	174.30941106699000898
