Mixture	iCAF	mCAF	tpCAF	vCAF	Pericyte	apCAF	rCAF	P-value	Correlation	RMSE
mirror_db_sample62	0.40966506711972761	0.12683405568133313	0.20270369330612281	0.07875389777393110	0.05206820554369850	0.12997508057518695	0.00000000000000000	0.00000000000000000	0.99731627481759200	0.40209680289945171
mirror_db_sample63	0.35837725175142982	0.13036384829198822	0.25686725180410436	0.05834119996398598	0.03977448951814092	0.13080546204739163	0.02547049662295900	0.00000000000000000	0.99659041645480106	0.39697392443316815
mirror_db_sample64	0.31250611093360570	0.15171739832939632	0.23630820448896780	0.06068321896001894	0.12009239506784297	0.11394786816499657	0.00474480405517184	0.00000000000000000	0.99737612199385561	0.42055200363633377
mirror_db_sample65	0.38053615803002022	0.14162593806690149	0.21177939833820766	0.08753963071915499	0.03667297396687293	0.13320097746214410	0.00864492341669861	0.00000000000000000	0.99697033286879277	0.40113407693043834
mirror_db_sample66	0.32528294489042137	0.17051407364179372	0.22497291697921315	0.03182768971496503	0.08977497877768886	0.13659936790542646	0.02102802809049136	0.00000000000000000	0.99717237994896668	0.42870396370687047
mirror_db_sample67	0.38615985872486147	0.10074988570050621	0.25856080241815549	0.05011604657236134	0.05362374447089045	0.12839234551017761	0.02239731660304744	0.00000000000000000	0.99835939318176459	0.39084696411231595
mirror_db_sample68	0.33881049074894548	0.11592096476122501	0.18735576560143805	0.07931731352577981	0.13399750932293419	0.11896935631792767	0.02562859972174981	0.00000000000000000	0.99538835436348161	0.43287532812195029
mirror_db_sample69	0.33979024108477029	0.10031086785114636	0.21337687754750712	0.06466025174598472	0.10311112448002425	0.14130959412662825	0.03744104316393903	0.00000000000000000	0.99515581267942188	0.41827315562071049
mirror_db_sample70	0.38835624402339658	0.06455423219151422	0.19493270850490538	0.10556924722364809	0.02965567995084024	0.17842499317124702	0.03850689493444858	0.00000000000000000	0.99564435365227888	0.38600499346572031
mirror_db_sample71	0.39909493007280761	0.05277326901721206	0.29772956864723765	0.12678233773693914	0.02475487377420933	0.09886502075159415	0.00000000000000000	0.00000000000000000	0.99678856717140252	0.34711256047179539
mirror_db_sample72	0.42720398083927663	0.05895271633074885	0.26141228890158225	0.14647904442195939	0.00000000000000000	0.10595196950643286	0.00000000000000000	0.00000000000000000	0.99685935874496046	0.34794724115874121
mirror_db_sample73	0.35529863982203919	0.07397058563443476	0.27175508347872895	0.09243792228300624	0.07844671877199559	0.10857808948557457	0.01951296052422061	0.00000000000000000	0.99370201554412407	0.38782014331963849
mirror_db_sample74	0.32776952719694324	0.13935687332708546	0.23331616553067550	0.05588797976632792	0.15016876004917137	0.08631899545096487	0.00718169867883178	0.00000000000000000	0.99516061533330658	0.43292655895030946
mirror_db_sample75	0.36854409680603667	0.09946405947244219	0.19072433545815723	0.06232515093666883	0.16466789333495668	0.08485267450705321	0.02942178948468511	0.00000000000000000	0.99613236364549518	0.44102587850535041
mirror_db_sample76	0.39442465974359464	0.08339144384508483	0.24048579159729877	0.06722497873067483	0.11224951138812198	0.07839799033543784	0.02382562435978705	0.00000000000000000	0.99603069498589514	0.41144335919906055
mirror_db_sample77	0.39328322648005531	0.10178935002782424	0.24145968236732399	0.11305972188661591	0.01367735166924278	0.12852914187257591	0.00820152569636171	0.00000000000000000	0.99696762860187493	0.37373370153908292
