GeneSymbol	iCAF	mCAF	tpCAF	vCAF	Pericyte	apCAF	rCAF
ANKRD28	541.97834271135548079	246.52091896656494896	235.20986281818903763	172.30582590982092484	223.95417514386377889	46.01318169133371327	1270.12355847708499823
ANKRD29	11.25448914138498324	29.49529012781614767	27.57360417566979294	163.62004525200316607	28.88070465043315238	1.26179128911655969	67.16538710301092863
ANKRD35	378.03995961918298008	112.35743646006430652	287.26385359663203189	88.47478035974219779	139.66971450003686073	153.64867761742732455	290.71060725143132686
ANKRD50	93.93652741854984356	133.99549900761172694	71.77795530136262414	88.28655348402520531	29.58126042957686508	127.19891488953744840	170.84866939783523776
ANO1	159.71414859373228978	263.74665614117549239	77.10122066011537356	190.71976922023139878	22.41253454998483363	84.90400676814759606	0.00000000000000000
ANO6	294.69397954678066753	363.06153986832737246	212.36937363622863018	306.64022544468275555	245.67361936462140193	371.21725333943123815	102.09653800944381885
ANP32A	312.63981211964744489	633.99557872332422903	512.51161424294605240	97.96840001818250698	433.32749772998135995	180.58527630954111487	524.06688846900260614
ANTXR1	2415.34772118959381260	614.39671801495296677	721.45970890264800346	438.36432587472552314	727.95962056084044889	748.70059821358609042	567.91938149135660296
ANTXR2	532.14585202888736148	192.23835506072603607	326.11420458593204330	100.98376312092148055	58.38911006186542352	408.90153297593468551	495.51929492117074005
ANXA2R	29.69896209671999898	34.12385930937662692	47.19574027267952943	4.23804876167746514	5.51890787307013309	0.00000000000000000	161.91239196990912319
AOC3	315.17108736596810559	334.67244390137346954	330.99006238314552775	651.35680710825772621	158.27237343292588889	472.53321052368551136	85.52647881276764963
AOPEP	952.73019518692433394	571.14632694914007516	710.20768008757875123	1105.85960262246931052	556.84130172898437650	666.35211494522252451	50.90641804211448829
AP1M1	173.45397452207450328	211.33639427331354455	164.52454510193163628	211.60946989492720149	276.85040297507498508	228.05544592650124969	0.00000000000000000
AP1S2	165.92997647933347594	208.34098135341577063	282.28964191580939769	89.03276793809168055	1211.73320986456974424	0.00000000000000000	805.60212835070706205
AP2A1	294.04093763598496025	283.92273342800160663	323.19090748462610918	185.00225257921704269	229.48584162643277296	274.95723908834798976	0.00000000000000000
AP2A2	158.18014179049973222	189.83530479686621106	162.53007773591457408	127.08158172599057423	259.82799233219975577	261.69970340715252632	162.72586865448346316
AP3M1	77.05856162557583389	115.37386536792513425	77.30543889436908955	68.72418794701752631	424.59798487170576209	0.00000000000000000	171.55768964905934126
APBB1	117.33309333333957625	60.15264979958747205	54.66322101995515226	96.09082390369684390	202.31858339117971468	63.39025940487724853	186.28214516275744472
APOBEC3C	194.41982612559044696	280.28923386304398946	186.06796430334651404	147.90942581653365551	271.13453230638515379	196.49421085420817690	0.00000000000000000
APOC1	315.84158441396829176	522.81099124457500693	924.80743798161176983	423.72765107678515051	4402.92081851720649865	0.00000000000000000	1728.34339212982422396
APOD	1299.05093562335764545	210.72333397797595467	3266.39382016738090897	0.00000000000000000	382.81296101889313377	2149.87548677904533179	0.00000000000000000
APOL1	795.38061213989033149	461.13287718789172231	408.05013933605880538	266.83609727587707994	254.95705516627094767	742.77264973927265146	74.67243933954806323
APOL3	170.22501035680576820	252.01076761673809301	211.18327881791719847	223.88426823810084443	59.26117064756464714	142.31550484541187984	103.41309170158109509
APOLD1	73.40168727661671255	510.41782549760603160	151.68534428248568702	413.79288415509989818	161.70719505921718451	0.00000000000000000	436.56838614461588577
AQP9	18.38416823837301450	9.72106706473221216	32.99793724650771054	2.41208129788135706	202.63072351198437104	14.39350519400602479	0.00000000000000000
ARCN1	325.67067515953885959	321.21186364416860215	177.23866555411893842	170.72294739491553628	129.44720980207429761	330.04564514576890133	133.65295295727767666
AREG	1332.10784573359160277	412.38089856071866279	2855.60751425880562238	0.00000000000000000	825.03220749685431201	2823.94167992032635084	0.00000000000000000
ARF6	556.36962447081293703	372.77731113454223077	580.72047600149971913	540.95681007908058291	944.58778484826052591	525.21566787440428925	0.00000000000000000
ARFIP2	236.73160562868972079	217.55126223846559697	269.76466177398606305	193.36855375148232383	107.13400985660661036	226.04421303307384505	374.59651298828862309
ARFRP1	387.77938045796162214	396.85057920411986743	394.46227501278258387	108.70753682167944021	132.05110609356381701	315.56137199881067090	213.50758880226291581
ARHGAP1	341.90343545780615386	447.85222531100322385	219.17297237887655115	248.78294510376613857	221.54317859681671621	230.34334475601298209	0.00000000000000000
ARHGAP10	126.23126741252883676	328.31342479926956912	124.89339106423250314	167.06288831054473576	230.85272141479671859	177.40086114061136868	0.00000000000000000
ARHGAP15	89.47288350692643633	688.10972660769255072	209.58862740963908777	354.07947374521455686	240.31532709707340700	66.86020282186184716	49.80443791930882469
ARHGAP18	118.10704315052413449	197.51945573549778601	131.36893121175168631	43.75713909707906168	532.74798328572239825	60.76144001524269100	468.90628413707520394
ARHGAP21	264.98397392595040856	179.51779621242721419	95.34532694285732646	191.84555651658365605	80.20615890346664401	250.22121094221586191	449.31559265651128499
ARHGAP23	69.76470534026427117	69.69408129110864536	73.24073455404406729	1.65127636052024873	78.92560354534323608	14.65627686378950223	357.97323805114979223
ARHGAP24	196.81347886491820987	254.66335205430297606	221.03254062617872933	165.73380082868416707	224.42310312497227187	246.26589101569362583	0.00000000000000000
ARHGAP26	26.50784784255766979	252.86090730379083880	36.53495348983682334	47.32970965881840897	99.04747556042548240	0.00000000000000000	401.96317406481472290
ARHGAP27	9.68421563996112766	13.44809585580336275	23.92476190470336306	0.00000000000000000	15.44756029071052694	12.85716024125632195	176.60620922990293025
