NAME	iCAF	mCAF	hsp_tpCAF	IDO_CAF	apCAF	dCAF	Pericyte	tpCAF	vCAF	rCAF
SELENBP1	55.83112810944125215	1.00000000000000000	1.00000000000000000	25.83791735428158631	1.00000000000000000	1.00000000000000000	66.76372605306625019	1.00000000000000000	70.14358861467349016	72.28082510847700348
SELENON	37.80995690817515964	43.07560297665484228	1.00000000000000000	47.31670407765461306	1.00000000000000000	57.57740630481208655	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SEMA3C	156.58549135189679191	62.72479771317089359	1.00000000000000000	36.23634368820163587	1.00000000000000000	29.51883930525161759	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SEMA4A	74.70597413962211419	41.19292671407691131	220.44897668217228670	37.34906817881530827	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	56.98725893897660200	100.50573375623339700
SEMA4C	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	48.67560922935675194	1.00000000000000000	57.36466042207353411	69.10452574322998487
SEMA5A	1.00000000000000000	40.08978643137255915	1.00000000000000000	40.49206679946156839	1.00000000000000000	49.58133010967325305	96.86596371461172339	1.00000000000000000	36.55894401583309161	101.44097606049781746
SEMA5B	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	40.43226994062545288	1.00000000000000000	1.00000000000000000	1.00000000000000000
SENP7	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	31.64902725716577336	1.00000000000000000	1.00000000000000000	1.00000000000000000
SEPT4	1.00000000000000000	35.49886952811787211	1.00000000000000000	38.87931468836675464	158.53452375345793257	58.53442918758050695	382.67889626804617365	1.00000000000000000	258.06157092236884409	119.13735790160292538
SEPT6	1.00000000000000000	38.42661980658027687	1.00000000000000000	36.23269796324311898	56.77913935459923067	28.24797981610868547	46.02083672417904836	1.00000000000000000	1.00000000000000000	1.00000000000000000
SERINC2	1.00000000000000000	34.33084140863583400	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	56.46482804562000979	1.00000000000000000	1.00000000000000000
SERINC5	1.00000000000000000	33.27299360903489855	1.00000000000000000	28.47552756903962390	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SERPINB9	1.00000000000000000	1.00000000000000000	1.00000000000000000	29.45622030996518959	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SERPINI1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	186.77049922399382353	1.00000000000000000	135.72876728483709030	1.00000000000000000
SERTAD2	32.17361702855739480	28.00700135793137946	1.00000000000000000	28.72470205591884707	1.00000000000000000	38.94111911051165720	1.00000000000000000	49.71487807502670364	1.00000000000000000	1.00000000000000000
SESN1	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	31.17289013103698636	1.00000000000000000	1.00000000000000000	1.00000000000000000
SESN2	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	26.42940905767851589	33.07507195944152301	1.00000000000000000	1.00000000000000000	1.00000000000000000
SETBP1	50.98008209619489861	25.27328878202080631	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	55.62302819899345252	1.00000000000000000	56.71744320920062421	59.97100570136669262
SETD3	1.00000000000000000	24.64182701622499039	1.00000000000000000	21.85478640876182865	1.00000000000000000	51.95744995174268865	1.00000000000000000	1.00000000000000000	30.10666449081780272	31.93771438759936387
SETD7	36.65873136312718117	32.50925923030865050	1.00000000000000000	21.46305207202464516	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	34.69860096714931075
SFRP1	213.28538795555982688	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
SFRP2	2967.73367251677291279	4426.27897861396922963	763.42889917395496013	2944.72719070936909702	1218.03886382444761693	957.45292335972328601	1.00000000000000000	1346.56347202228494098	1.00000000000000000	1.00000000000000000
SFRP4	1283.53285503973029336	1316.82270547874895783	207.71288580831847526	638.92729559091287683	276.74134146030758075	286.71226597655311252	1.00000000000000000	267.84427470135119620	1.00000000000000000	51.14196115214879512
