"","apCAF","dCAF","hsp_tpCAF","iCAF","IDO_CAF","mCAF","Pericyte","rCAF","tpCAF","vCAF"
"mirror_db_sample45",0.162753185908855,0.00191067133392622,0,0.206506338634708,0.045916198668946,0.326467801989229,0.12961305459874,0.0179604391610641,8.64436670259393e-21,0.108872309704532
"mirror_db_sample46",0.0818573416182832,0.0185051466010481,3.58511008219096e-20,0.241657547403477,0.0413921841773196,0.333876576316391,0.124854195270934,0,0.0427210974272114,0.115135911185336
"mirror_db_sample47",0.0340005408005901,0.0436283124695099,9.24573333215271e-21,0.211940104364138,0.0729087774154711,0.315735343527674,0.136921108037752,0.00487679990223518,0.0600496596222082,0.119939353860423
"mirror_db_sample48",0.0831985686728414,0.00835443660060154,6.1380779609451e-20,0.201261869240183,0.0556865997758761,0.363062782125524,0.132254168939308,0.013348148930661,0.0345384871320154,0.10829493858299
"mirror_db_sample49",6.67844049490385e-21,0.034789528895227,7.66740537157309e-19,0.243306773947659,0.0628665944422507,0.418415475133895,0.0775737643960508,0.0137435907003411,0.0147579823049443,0.134546290179632
"mirror_db_sample50",0.147852403044861,0.00622267634876787,0,0.201120822076967,0.0484344807361138,0.342520837448735,0.127167764982222,0.01339859205712,0.00599852740663354,0.10728389589858
"mirror_db_sample51",0.00213548240889301,0.0190937439303402,0.0279877269193682,0.227905088180646,0.0635302157648325,0.386396121834582,0.117507749183478,0.0099187964581128,0.0177601172991319,0.127764958020616
"mirror_db_sample52",0.0498677340553896,0.0792083805263245,1.85114425334917e-20,0.24044382581325,0.0493556270224556,0.345468272188176,0.0941650312066124,0.00650801640548675,2.81722904186944e-20,0.134983112782305
"mirror_db_sample53",0.000869230989384801,0.0028618855624082,0.0113548479646006,0.205271093238836,0.0610317778536206,0.384376817942691,0.132737090192503,0.00984752879090805,0.0234731277089594,0.168176599756088
"mirror_db_sample54",0.000836429976345578,0.0204550840432571,2.17817180086989e-20,0.235563243147254,0.035700245676114,0.446647125677056,0.117911074262037,0.0163306746768959,0.00932999963930057,0.11722612290174
"mirror_db_sample55",0.024168705128528,0.043991335358438,0,0.202817446182412,0.0381527932658772,0.405581691038858,0.153981832385967,0.00755193321040515,0.0161923530772919,0.107561910352223
"mirror_db_sample56",0.00366354420049703,0.00676094650095345,0.0190378243011769,0.23183300105555,0.0212607313954435,0.427176319111199,0.170972087494704,0.0147613415005693,0.000159362634339254,0.104374841805568
"mirror_db_sample57",0.0125104244467239,0.0080825124563471,0.0658619516043609,0.207491380478153,0.099459296881695,0.329557428172875,0.102394024808546,0.0189023217834502,0.0134492181467951,0.142291441221053
"mirror_db_sample58",0.121189177416344,0.0529760213249979,1.08299038743989e-18,0.19354840049321,0.0415622678021649,0.353821055309647,0.113920930763036,0.0127881817606859,0,0.110193965129914
"mirror_db_sample59",0.0170332432092479,0.0306267461610176,0.0387257031100907,0.164777657189654,0.0517307414012605,0.412717831180939,0.106173852728135,0.0158714712413447,0.0064857969922522,0.155856956786058
"mirror_db_sample60",0.000367158428814677,0.0277666986267731,0.000403654599629422,0.241835860903529,0.0453814475856499,0.392552858051117,0.150233769140077,0.000492625482986333,0,0.140965927181424
"mirror_db_sample61",0.00096178187232219,0.0152796119435218,1.31328941095786e-05,0.221286233949295,0.0475864370725997,0.424934215003045,0.1377225836875,0.00546314054901787,0.0235170329574804,0.12323583007111
"mirror_db_sample62",0.00720824633206292,0.0221310678624554,1.17863410245307e-21,0.2255140476683,0.0587435002996393,0.422887305468446,0.120662112266762,0.0140975603088999,0.0129595803923904,0.115796579401044
"mirror_db_sample63",0.0166085740571526,0.00322547311869926,8.98984307833305e-21,0.233011288322463,0.0651939238093976,0.416215280347087,0.120871355602853,0.0213071750463338,0.0171735084991833,0.10639342119683
