"","apCAF","iCAF","mCAF","Pericyte","rCAF","tpCAF","vCAF"
"mirror_db_sample70",0.012782978051215,0.387706086573578,0.331888210766173,0.0843919481367178,0.0232055303877233,0.113812312393759,0.0462129336908338
"mirror_db_sample71",0.00908282305189342,0.292598765932635,0.325715459579471,0.0936218033669791,0.00291928260255065,0.233035389904623,0.0430264755618482
"mirror_db_sample72",3.79392894482363e-22,0.299344354759175,0.347291274519444,0.103222387351137,0.00294436555302174,0.212013988592392,0.0351836292248307
"mirror_db_sample73",0.049522222867237,0.327394701626078,0.325357076521579,0.0813882593305186,0.0154037765602929,0.132683996980005,0.0682499661142893
"mirror_db_sample74",0.076422810857601,0.280081530118451,0.322302610760474,0.114341655648511,0.0095415562075487,0.154443028983193,0.0428668074242218
"mirror_db_sample75",0.0787516809445622,0.259050958200231,0.38474785959858,0.106139441399142,0.0154706532427881,0.136383866328386,0.0194555402863103
"mirror_db_sample76",0.0515009975194213,0.289116885512713,0.365144841421025,0.0998308720268759,0.0154277431853534,0.156578951223953,0.0223997091106576
"mirror_db_sample77",0.0104268298336951,0.286759466308712,0.351149980204233,0.11461836484791,0.0107767803657251,0.17409359009933,0.0521749883403943
"mirror_db_sample78",0.0410328458436523,0.261915717327393,0.337884120178838,0.151683673205482,0,0.176155375641844,0.0313282678027911
"mirror_db_sample79",0.00941104210800346,0.311429148850577,0.316331529557641,0.124921207006194,0.00402067713204639,0.192500375360748,0.0413860199847902
"mirror_db_sample80",0.0506830264437143,0.272827634752008,0.332661016886509,0.138640067473957,0.00153146015600333,0.150058846127715,0.0535979481600938
"mirror_db_sample81",0.0300023051444417,0.340883883062475,0.280480562623906,0.129733698006116,0.010643854391946,0.186054038943078,0.0222016578280362
"mirror_db_sample82",0.016359962840012,0.312955953335048,0.352858680309185,0.117700810266503,0.00889581064458258,0.153925560923993,0.0373032216806769
"mirror_db_sample83",0.0289088269488704,0.312642937708029,0.326887827534019,0.1252037597578,0.00395140298795813,0.16342410185495,0.0389811432083731
"mirror_db_sample84",0.0113997038755592,0.28003776114223,0.379785547304386,0.117337072948954,0.0123546994235555,0.171145597319499,0.0279396179858165
"mirror_db_sample85",0.0162309457152468,0.432539036395659,0.278875827189736,0.0780934161543577,0.00318266164016116,0.14078275560135,0.0502953573034886
"mirror_db_sample86",0.0777729817047374,0.276012607900173,0.30561486921017,0.141348925555354,0.0167159700489584,0.149883946582331,0.0326506989982756
